distance,iou,conf,TP,FP,FN,P,R,F1
15m,0.3,0.05,541,357,436,0.6024498886414253,0.5537359263050153,0.5770666666666665
15m,0.3,0.1,541,357,436,0.6024498886414253,0.5537359263050153,0.5770666666666665
15m,0.3,0.15000000000000002,541,357,436,0.6024498886414253,0.5537359263050153,0.5770666666666665
15m,0.3,0.2,541,357,436,0.6024498886414253,0.5537359263050153,0.5770666666666665
15m,0.3,0.25,541,357,436,0.6024498886414253,0.5537359263050153,0.5770666666666665
15m,0.3,0.3,506,291,471,0.6348808030112923,0.5179119754350051,0.5704622322435174
15m,0.3,0.35000000000000003,480,234,497,0.6722689075630253,0.49129989764585463,0.5677114133648729
15m,0.3,0.4,444,198,533,0.6915887850467289,0.45445240532241554,0.5484867201976528
15m,0.3,0.45,393,165,584,0.7043010752688172,0.4022517911975435,0.5120521172638438
15m,0.3,0.5,340,133,637,0.718816067653277,0.34800409416581374,0.46896551724137936
15m,0.3,0.55,265,102,712,0.7220708446866485,0.2712384851586489,0.394345238095238
15m,0.3,0.6000000000000001,182,63,795,0.7428571428571429,0.1862845445240532,0.2978723404255319
15m,0.3,0.6500000000000001,94,34,883,0.734375,0.09621289662231321,0.17013574660633482
15m,0.3,0.7000000000000001,26,12,951,0.6842105263157895,0.02661207778915046,0.05123152709359606
15m,0.3,0.7500000000000001,1,3,976,0.25,0.0010235414534288639,0.0020387359836901123
15m,0.3,0.8,0,0,977,0.0,0.0,0.0
15m,0.3,0.8500000000000001,0,0,977,0.0,0.0,0.0
15m,0.3,0.9000000000000001,0,0,977,0.0,0.0,0.0
15m,0.5,0.05,213,685,764,0.23719376391982183,0.218014329580348,0.22719999999999999
15m,0.5,0.1,213,685,764,0.23719376391982183,0.218014329580348,0.22719999999999999
15m,0.5,0.15000000000000002,213,685,764,0.23719376391982183,0.218014329580348,0.22719999999999999
15m,0.5,0.2,213,685,764,0.23719376391982183,0.218014329580348,0.22719999999999999
15m,0.5,0.25,213,685,764,0.23719376391982183,0.218014329580348,0.22719999999999999
15m,0.5,0.3,194,603,783,0.24341279799247176,0.1985670419651996,0.21871476888387825
15m,0.5,0.35000000000000003,179,535,798,0.2507002801120448,0.18321392016376664,0.2117090479006505
15m,0.5,0.4,167,475,810,0.2601246105919003,0.17093142272262027,0.20630018529956762
15m,0.5,0.45,143,415,834,0.25627240143369173,0.14636642784032752,0.1863192182410423
15m,0.5,0.5,121,352,856,0.2558139534883721,0.12384851586489252,0.16689655172413792
15m,0.5,0.55,94,273,883,0.2561307901907357,0.09621289662231321,0.1398809523809524
15m,0.5,0.6000000000000001,72,173,905,0.2938775510204082,0.0736949846468782,0.11783960720130933
15m,0.5,0.6500000000000001,40,88,937,0.3125,0.04094165813715456,0.07239819004524888
15m,0.5,0.7000000000000001,14,24,963,0.3684210526315789,0.014329580348004094,0.027586206896551724
15m,0.5,0.7500000000000001,1,3,976,0.25,0.0010235414534288639,0.0020387359836901123
15m,0.5,0.8,0,0,977,0.0,0.0,0.0
15m,0.5,0.8500000000000001,0,0,977,0.0,0.0,0.0
15m,0.5,0.9000000000000001,0,0,977,0.0,0.0,0.0
15m,0.7,0.05,27,871,950,0.030066815144766147,0.027635619242579325,0.0288
15m,0.7,0.1,27,871,950,0.030066815144766147,0.027635619242579325,0.0288
15m,0.7,0.15000000000000002,27,871,950,0.030066815144766147,0.027635619242579325,0.0288
15m,0.7,0.2,27,871,950,0.030066815144766147,0.027635619242579325,0.0288
15m,0.7,0.25,27,871,950,0.030066815144766147,0.027635619242579325,0.0288
15m,0.7,0.3,26,771,951,0.03262233375156838,0.02661207778915046,0.029312288613303268
15m,0.7,0.35000000000000003,24,690,953,0.03361344537815126,0.02456499488229273,0.02838557066824364
15m,0.7,0.4,22,620,955,0.03426791277258567,0.022517911975435005,0.027177269919703522
15m,0.7,0.45,17,541,960,0.03046594982078853,0.017400204708290685,0.022149837133550485
15m,0.7,0.5,15,458,962,0.03171247357293869,0.015353121801432957,0.02068965517241379
15m,0.7,0.55,14,353,963,0.03814713896457766,0.014329580348004094,0.020833333333333332
15m,0.7,0.6000000000000001,12,233,965,0.04897959183673469,0.012282497441146366,0.019639934533551555
15m,0.7,0.6500000000000001,7,121,970,0.0546875,0.007164790174002047,0.012669683257918552
15m,0.7,0.7000000000000001,0,38,977,0.0,0.0,0.0
15m,0.7,0.7500000000000001,0,4,977,0.0,0.0,0.0
15m,0.7,0.8,0,0,977,0.0,0.0,0.0
15m,0.7,0.8500000000000001,0,0,977,0.0,0.0,0.0
15m,0.7,0.9000000000000001,0,0,977,0.0,0.0,0.0
25m,0.3,0.05,703,727,1099,0.4916083916083916,0.39012208657047726,0.43502475247524747
25m,0.3,0.1,703,727,1099,0.4916083916083916,0.39012208657047726,0.43502475247524747
25m,0.3,0.15000000000000002,703,727,1099,0.4916083916083916,0.39012208657047726,0.43502475247524747
25m,0.3,0.2,703,727,1099,0.4916083916083916,0.39012208657047726,0.43502475247524747
25m,0.3,0.25,703,727,1099,0.4916083916083916,0.39012208657047726,0.43502475247524747
25m,0.3,0.3,638,583,1164,0.5225225225225225,0.35405105438401774,0.42209725438306317
25m,0.3,0.35000000000000003,556,489,1246,0.5320574162679426,0.30854605993340734,0.39058658236740434
25m,0.3,0.4,488,391,1314,0.5551763367463026,0.27081021087680357,0.36404326743752335
25m,0.3,0.45,397,327,1405,0.5483425414364641,0.22031076581576026,0.3143309580364212
25m,0.3,0.5,271,240,1531,0.5303326810176126,0.15038845726970032,0.2343277129269347
25m,0.3,0.55,155,148,1647,0.5115511551155115,0.08601553829078801,0.14726840855106887
25m,0.3,0.6000000000000001,52,67,1750,0.4369747899159664,0.02885682574916759,0.05413846954711088
25m,0.3,0.6500000000000001,14,21,1788,0.4,0.00776914539400666,0.01524224278715297
25m,0.3,0.7000000000000001,0,5,1802,0.0,0.0,0.0
25m,0.3,0.7500000000000001,0,1,1802,0.0,0.0,0.0
25m,0.3,0.8,0,0,1802,0.0,0.0,0.0
25m,0.3,0.8500000000000001,0,0,1802,0.0,0.0,0.0
25m,0.3,0.9000000000000001,0,0,1802,0.0,0.0,0.0
25m,0.5,0.05,239,1191,1563,0.16713286713286712,0.13263041065482797,0.14789603960396042
25m,0.5,0.1,239,1191,1563,0.16713286713286712,0.13263041065482797,0.14789603960396042
25m,0.5,0.15000000000000002,239,1191,1563,0.16713286713286712,0.13263041065482797,0.14789603960396042
25m,0.5,0.2,239,1191,1563,0.16713286713286712,0.13263041065482797,0.14789603960396042
25m,0.5,0.25,239,1191,1563,0.16713286713286712,0.13263041065482797,0.14789603960396042
25m,0.5,0.3,205,1016,1597,0.1678951678951679,0.11376248612652608,0.13562686073436983
25m,0.5,0.35000000000000003,172,873,1630,0.1645933014354067,0.09544950055493896,0.12082894274675096
25m,0.5,0.4,138,741,1664,0.15699658703071673,0.07658157602663707,0.10294666169339797
25m,0.5,0.45,100,624,1702,0.13812154696132597,0.05549389567147614,0.07917656373713382
25m,0.5,0.5,67,444,1735,0.13111545988258316,0.03718091009988901,0.05793341980112409
25m,0.5,0.55,34,269,1768,0.11221122112211221,0.018867924528301886,0.032304038004750596
25m,0.5,0.6000000000000001,4,115,1798,0.03361344537815126,0.0022197558268590455,0.0041644976574700685
