15m | CONF=0.05 IOU=0.3 TP=541 FP=357 FN=436 P=0.602 R=0.554 F1=0.577
15m | CONF=0.10 IOU=0.3 TP=541 FP=357 FN=436 P=0.602 R=0.554 F1=0.577
15m | CONF=0.15 IOU=0.3 TP=541 FP=357 FN=436 P=0.602 R=0.554 F1=0.577
15m | CONF=0.20 IOU=0.3 TP=541 FP=357 FN=436 P=0.602 R=0.554 F1=0.577
15m | CONF=0.25 IOU=0.3 TP=541 FP=357 FN=436 P=0.602 R=0.554 F1=0.577
15m | CONF=0.30 IOU=0.3 TP=506 FP=291 FN=471 P=0.635 R=0.518 F1=0.570
15m | CONF=0.35 IOU=0.3 TP=480 FP=234 FN=497 P=0.672 R=0.491 F1=0.568
15m | CONF=0.40 IOU=0.3 TP=444 FP=198 FN=533 P=0.692 R=0.454 F1=0.548
15m | CONF=0.45 IOU=0.3 TP=393 FP=165 FN=584 P=0.704 R=0.402 F1=0.512
15m | CONF=0.50 IOU=0.3 TP=340 FP=133 FN=637 P=0.719 R=0.348 F1=0.469
15m | CONF=0.55 IOU=0.3 TP=265 FP=102 FN=712 P=0.722 R=0.271 F1=0.394
15m | CONF=0.60 IOU=0.3 TP=182 FP=63 FN=795 P=0.743 R=0.186 F1=0.298
15m | CONF=0.65 IOU=0.3 TP=94 FP=34 FN=883 P=0.734 R=0.096 F1=0.170
15m | CONF=0.70 IOU=0.3 TP=26 FP=12 FN=951 P=0.684 R=0.027 F1=0.051
15m | CONF=0.75 IOU=0.3 TP=1 FP=3 FN=976 P=0.250 R=0.001 F1=0.002
15m | CONF=0.80 IOU=0.3 TP=0 FP=0 FN=977 P=0.000 R=0.000 F1=0.000
15m | CONF=0.85 IOU=0.3 TP=0 FP=0 FN=977 P=0.000 R=0.000 F1=0.000
15m | CONF=0.90 IOU=0.3 TP=0 FP=0 FN=977 P=0.000 R=0.000 F1=0.000
15m | AUPR IoU=0.3 = 0.3852
15m | CONF=0.05 IOU=0.5 TP=213 FP=685 FN=764 P=0.237 R=0.218 F1=0.227
15m | CONF=0.10 IOU=0.5 TP=213 FP=685 FN=764 P=0.237 R=0.218 F1=0.227
15m | CONF=0.15 IOU=0.5 TP=213 FP=685 FN=764 P=0.237 R=0.218 F1=0.227
15m | CONF=0.20 IOU=0.5 TP=213 FP=685 FN=764 P=0.237 R=0.218 F1=0.227
15m | CONF=0.25 IOU=0.5 TP=213 FP=685 FN=764 P=0.237 R=0.218 F1=0.227
15m | CONF=0.30 IOU=0.5 TP=194 FP=603 FN=783 P=0.243 R=0.199 F1=0.219
15m | CONF=0.35 IOU=0.5 TP=179 FP=535 FN=798 P=0.251 R=0.183 F1=0.212
15m | CONF=0.40 IOU=0.5 TP=167 FP=475 FN=810 P=0.260 R=0.171 F1=0.206
15m | CONF=0.45 IOU=0.5 TP=143 FP=415 FN=834 P=0.256 R=0.146 F1=0.186
15m | CONF=0.50 IOU=0.5 TP=121 FP=352 FN=856 P=0.256 R=0.124 F1=0.167
15m | CONF=0.55 IOU=0.5 TP=94 FP=273 FN=883 P=0.256 R=0.096 F1=0.140
15m | CONF=0.60 IOU=0.5 TP=72 FP=173 FN=905 P=0.294 R=0.074 F1=0.118
15m | CONF=0.65 IOU=0.5 TP=40 FP=88 FN=937 P=0.312 R=0.041 F1=0.072
15m | CONF=0.70 IOU=0.5 TP=14 FP=24 FN=963 P=0.368 R=0.014 F1=0.028
15m | CONF=0.75 IOU=0.5 TP=1 FP=3 FN=976 P=0.250 R=0.001 F1=0.002
15m | CONF=0.80 IOU=0.5 TP=0 FP=0 FN=977 P=0.000 R=0.000 F1=0.000
15m | CONF=0.85 IOU=0.5 TP=0 FP=0 FN=977 P=0.000 R=0.000 F1=0.000
15m | CONF=0.90 IOU=0.5 TP=0 FP=0 FN=977 P=0.000 R=0.000 F1=0.000
15m | AUPR IoU=0.5 = 0.0602
15m | CONF=0.05 IOU=0.7 TP=27 FP=871 FN=950 P=0.030 R=0.028 F1=0.029
15m | CONF=0.10 IOU=0.7 TP=27 FP=871 FN=950 P=0.030 R=0.028 F1=0.029
15m | CONF=0.15 IOU=0.7 TP=27 FP=871 FN=950 P=0.030 R=0.028 F1=0.029
15m | CONF=0.20 IOU=0.7 TP=27 FP=871 FN=950 P=0.030 R=0.028 F1=0.029
15m | CONF=0.25 IOU=0.7 TP=27 FP=871 FN=950 P=0.030 R=0.028 F1=0.029
15m | CONF=0.30 IOU=0.7 TP=26 FP=771 FN=951 P=0.033 R=0.027 F1=0.029
15m | CONF=0.35 IOU=0.7 TP=24 FP=690 FN=953 P=0.034 R=0.025 F1=0.028
15m | CONF=0.40 IOU=0.7 TP=22 FP=620 FN=955 P=0.034 R=0.023 F1=0.027
15m | CONF=0.45 IOU=0.7 TP=17 FP=541 FN=960 P=0.030 R=0.017 F1=0.022
15m | CONF=0.50 IOU=0.7 TP=15 FP=458 FN=962 P=0.032 R=0.015 F1=0.021
15m | CONF=0.55 IOU=0.7 TP=14 FP=353 FN=963 P=0.038 R=0.014 F1=0.021
15m | CONF=0.60 IOU=0.7 TP=12 FP=233 FN=965 P=0.049 R=0.012 F1=0.020
15m | CONF=0.65 IOU=0.7 TP=7 FP=121 FN=970 P=0.055 R=0.007 F1=0.013
15m | CONF=0.70 IOU=0.7 TP=0 FP=38 FN=977 P=0.000 R=0.000 F1=0.000
15m | CONF=0.75 IOU=0.7 TP=0 FP=4 FN=977 P=0.000 R=0.000 F1=0.000
15m | CONF=0.80 IOU=0.7 TP=0 FP=0 FN=977 P=0.000 R=0.000 F1=0.000
15m | CONF=0.85 IOU=0.7 TP=0 FP=0 FN=977 P=0.000 R=0.000 F1=0.000
15m | CONF=0.90 IOU=0.7 TP=0 FP=0 FN=977 P=0.000 R=0.000 F1=0.000
15m | AUPR IoU=0.7 = 0.0010
25m | CONF=0.05 IOU=0.3 TP=703 FP=727 FN=1099 P=0.492 R=0.390 F1=0.435
25m | CONF=0.10 IOU=0.3 TP=703 FP=727 FN=1099 P=0.492 R=0.390 F1=0.435
25m | CONF=0.15 IOU=0.3 TP=703 FP=727 FN=1099 P=0.492 R=0.390 F1=0.435
25m | CONF=0.20 IOU=0.3 TP=703 FP=727 FN=1099 P=0.492 R=0.390 F1=0.435
25m | CONF=0.25 IOU=0.3 TP=703 FP=727 FN=1099 P=0.492 R=0.390 F1=0.435
25m | CONF=0.30 IOU=0.3 TP=638 FP=583 FN=1164 P=0.523 R=0.354 F1=0.422
25m | CONF=0.35 IOU=0.3 TP=556 FP=489 FN=1246 P=0.532 R=0.309 F1=0.391
25m | CONF=0.40 IOU=0.3 TP=488 FP=391 FN=1314 P=0.555 R=0.271 F1=0.364
25m | CONF=0.45 IOU=0.3 TP=397 FP=327 FN=1405 P=0.548 R=0.220 F1=0.314
25m | CONF=0.50 IOU=0.3 TP=271 FP=240 FN=1531 P=0.530 R=0.150 F1=0.234
25m | CONF=0.55 IOU=0.3 TP=155 FP=148 FN=1647 P=0.512 R=0.086 F1=0.147
25m | CONF=0.60 IOU=0.3 TP=52 FP=67 FN=1750 P=0.437 R=0.029 F1=0.054
25m | CONF=0.65 IOU=0.3 TP=14 FP=21 FN=1788 P=0.400 R=0.008 F1=0.015
25m | CONF=0.70 IOU=0.3 TP=0 FP=5 FN=1802 P=0.000 R=0.000 F1=0.000
25m | CONF=0.75 IOU=0.3 TP=0 FP=1 FN=1802 P=0.000 R=0.000 F1=0.000
25m | CONF=0.80 IOU=0.3 TP=0 FP=0 FN=1802 P=0.000 R=0.000 F1=0.000
25m | CONF=0.85 IOU=0.3 TP=0 FP=0 FN=1802 P=0.000 R=0.000 F1=0.000
25m | CONF=0.90 IOU=0.3 TP=0 FP=0 FN=1802 P=0.000 R=0.000 F1=0.000
25m | AUPR IoU=0.3 = 0.1994
25m | CONF=0.05 IOU=0.5 TP=239 FP=1191 FN=1563 P=0.167 R=0.133 F1=0.148
25m | CONF=0.10 IOU=0.5 TP=239 FP=1191 FN=1563 P=0.167 R=0.133 F1=0.148
25m | CONF=0.15 IOU=0.5 TP=239 FP=1191 FN=1563 P=0.167 R=0.133 F1=0.148
25m | CONF=0.20 IOU=0.5 TP=239 FP=1191 FN=1563 P=0.167 R=0.133 F1=0.148
25m | CONF=0.25 IOU=0.5 TP=239 FP=1191 FN=1563 P=0.167 R=0.133 F1=0.148
25m | CONF=0.30 IOU=0.5 TP=205 FP=1016 FN=1597 P=0.168 R=0.114 F1=0.136
25m | CONF=0.35 IOU=0.5 TP=172 FP=873 FN=1630 P=0.165 R=0.095 F1=0.121
25m | CONF=0.40 IOU=0.5 TP=138 FP=741 FN=1664 P=0.157 R=0.077 F1=0.103
25m | CONF=0.45 IOU=0.5 TP=100 FP=624 FN=1702 P=0.138 R=0.055 F1=0.079
25m | CONF=0.50 IOU=0.5 TP=67 FP=444 FN=1735 P=0.131 R=0.037 F1=0.058
25m | CONF=0.55 IOU=0.5 TP=34 FP=269 FN=1768 P=0.112 R=0.019 F1=0.032
25m | CONF=0.60 IOU=0.5 TP=4 FP=115 FN=1798 P=0.034 R=0.002 F1=0.004
25m | CONF=0.65 IOU=0.5 TP=2 FP=33 FN=1800 P=0.057 R=0.001 F1=0.002
25m | CONF=0.70 IOU=0.5 TP=0 FP=5 FN=1802 P=0.000 R=0.000 F1=0.000
25m | CONF=0.75 IOU=0.5 TP=0 FP=1 FN=1802 P=0.000 R=0.000 F1=0.000
25m | CONF=0.80 IOU=0.5 TP=0 FP=0 FN=1802 P=0.000 R=0.000 F1=0.000
25m | CONF=0.85 IOU=0.5 TP=0 FP=0 FN=1802 P=0.000 R=0.000 F1=0.000
25m | CONF=0.90 IOU=0.5 TP=0 FP=0 FN=1802 P=0.000 R=0.000 F1=0.000
25m | AUPR IoU=0.5 = 0.0183
25m | CONF=0.05 IOU=0.7 TP=45 FP=1385 FN=1757 P=0.031 R=0.025 F1=0.028
25m | CONF=0.10 IOU=0.7 TP=45 FP=1385 FN=1757 P=0.031 R=0.025 F1=0.028
25m | CONF=0.15 IOU=0.7 TP=45 FP=1385 FN=1757 P=0.031 R=0.025 F1=0.028
25m | CONF=0.20 IOU=0.7 TP=45 FP=1385 FN=1757 P=0.031 R=0.025 F1=0.028
25m | CONF=0.25 IOU=0.7 TP=45 FP=1385 FN=1757 P=0.031 R=0.025 F1=0.028
25m | CONF=0.30 IOU=0.7 TP=39 FP=1182 FN=1763 P=0.032 R=0.022 F1=0.026
25m | CONF=0.35 IOU=0.7 TP=34 FP=1011 FN=1768 P=0.033 R=0.019 F1=0.024
25m | CONF=0.40 IOU=0.7 TP=27 FP=852 FN=1775 P=0.031 R=0.015 F1=0.020
25m | CONF=0.45 IOU=0.7 TP=19 FP=705 FN=1783 P=0.026 R=0.011 F1=0.015
25m | CONF=0.50 IOU=0.7 TP=14 FP=497 FN=1788 P=0.027 R=0.008 F1=0.012
